Confusable,Canonical Character,Languages
"kwʼ","kw'","Dakelh,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene"
"kwʼ","kw̕","she shashishalhem"
"kwʼ","kw’","Dakelh,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nuxalk,Tseʼkhene,Tsilhqotʼin"
"kwˈ","kw'","Dakelh,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene"
"kwˈ","kw̕","she shashishalhem"
"kwˈ","kw’","Dakelh,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nuxalk,Tseʼkhene,Tsilhqotʼin"
"kw̒","kw'","Dakelh,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Sgüüx̱s,Tseʼkhene"
"kw̒","kw̕","she shashishalhem"
"kw̒","kw’","Dakelh,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nuxalk,Tseʼkhene,Tsilhqotʼin"
"kw̓","kw'","Dakelh,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Sgüüx̱s,Tseʼkhene"
"kw̓","kw̕","she shashishalhem"
"kw̓","kw’","Dakelh,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nuxalk,Tseʼkhene,Tsilhqotʼin"
"kw̔","kw'","Dakelh,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Sgüüx̱s,Tseʼkhene"
"kw̔","kw̕","she shashishalhem"
"kw̔","kw’","Dakelh,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nuxalk,Tseʼkhene,Tsilhqotʼin"
"kw̕","kw'","Dakelh,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Sgüüx̱s,Tseʼkhene"
"kw̕","kw’","Dakelh,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nuxalk,Tseʼkhene,Tsilhqotʼin"
"kw՚","kw'","Dakelh,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene"
"kw՚","kw̕","she shashishalhem"
"kw՚","kw’","Dakelh,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nuxalk,Tseʼkhene,Tsilhqotʼin"
"kw’","kw'","Dakelh,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene"
"kw’","kw̕","she shashishalhem"
"kw’","k̓w","Secwepemctsín"
"kw＇","kw'","Dakelh,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Tseʼkhene"
"kw＇","kw’","Dakelh,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nuxalk,Tseʼkhene,Tsilhqotʼin"
"ky","ky","Sgüüx̱s"
"ky'","ky'","Sgüüx̱s"
"kʷ","kʷ","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"kʷ̓","k̓ʷ","nuučaan̓uł"
"kʼ","k'","Dakelh,Dene Kʼe,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"kʼ","kˈ","Sm'algya̱x"
"kʼ","k̓","diitiidʔaaʔtx̣,Nsyilxcən,nuučaan̓uł,Secwepemctsín"
"kʼ","k̕","she shashishalhem"
"kʼ","k’","Dakelh,Dane-Ẕaa,Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān,Tseʼkhene,Tsilhqotʼin"
"kʼw","k'w","Sm'algya̱x"
"kʼw","kˈw","Sm'algya̱x"
"kʼw","k̓w","Secwepemctsín,St̓át̓imcets"
"kʼw","k̕w","kwakiutl,Kwak̕wala"
"kʼw","k’w","Lingít"
"kʼy","k'y","Sm'algya̱x"
"kʼy","kˈy","Sm'algya̱x"
"kʼʷ","k̓ʷ","diitiidʔaaʔtx̣,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nsyilxcən,nuučaan̓uł"
"kˈ","k'","Dakelh,Dene Kʼe,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"kˈ","kʼ","Danezāgéʼ,Southern Tutchone"
"kˈ","k̓","Nsyilxcən"
"kˈ","k’","Dakelh,Dane-Ẕaa,Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān,Tseʼkhene,Tsilhqotʼin"
"kˈw","k'w","Sm'algya̱x"
"kˈw","kʼw","Southern Tutchone"
"kˈw","k̓w","St̓át̓imcets"
"kˈy","k'y","Sm'algya̱x"
"kˈʷ","k̓ʷ","Nsyilxcən"
"k̀","k̓","ʼWuik̓ala"
"k̍","k̓","diitiidʔaaʔtx̣,Éy7á7juuthem,Haíɫzaqvḷa,Ktunaxa,kwakiutl,Kwak̕wala,kyuquot-checleseht,Nɬeʔkepmxcín,Nsyilxcən,nuučaan̓uł,Secwepemctsín,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"k̍","k̕","she shashishalhem"
"k̍w","k̓w","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Secwepemctsín,St̓át̓imcets"
"k̍w","k̕w","kwakiutl,Kwak̕wala"
"k̍ʷ","k̓ʷ","diitiidʔaaʔtx̣,Éy7á7juuthem,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Kwak̕wala,kyuquot-checleseht,Nɬeʔkepmxcín,Nsyilxcən,nuučaan̓uł,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"k̍ʸ","k̓ʸ","Éy7á7juuthem"
"k̒","k'","Dakelh,Dene Kʼe,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"k̒","k̓","diitiidʔaaʔtx̣,Éy7á7juuthem,Haíɫzaqvḷa,Ktunaxa,kwakiutl,Kwak̕wala,kyuquot-checleseht,Nɬeʔkepmxcín,Nsyilxcən,nuučaan̓uł,Secwepemctsín,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"k̒","k̕","she shashishalhem"
"k̒w","k̓w","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Secwepemctsín,St̓át̓imcets"
"k̒w","k̕w","kwakiutl,Kwak̕wala"
"k̒ʷ","k̓ʷ","diitiidʔaaʔtx̣,Éy7á7juuthem,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Kwak̕wala,kyuquot-checleseht,Nɬeʔkepmxcín,Nsyilxcən,nuučaan̓uł,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"k̒ʸ","k̓ʸ","Éy7á7juuthem"
"k̓","k'","Dakelh,Dene Kʼe,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"k̓","kʼ","Danezāgéʼ,Southern Tutchone"
"k̓","kˈ","Sm'algya̱x"
"k̓","k̓","kwakiutl,Kwak̕wala"
"k̓","k̕","she shashishalhem"
"k̓","k’","Dakelh,Dane-Ẕaa,Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān,Tseʼkhene,Tsilhqotʼin"
"k̓_w","ḵ̕w","kwakiutl,Kwak̕wala"
"k̓w","kʼw","Southern Tutchone"
"k̓w","k̓w","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"k̓w","k̕w","kwakiutl,Kwak̕wala"
"k̓ʷ","k̓ʷ","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"k̔","k'","Dakelh,Dene Kʼe,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"k̔","k̓","diitiidʔaaʔtx̣,Éy7á7juuthem,Haíɫzaqvḷa,Ktunaxa,kwakiutl,Kwak̕wala,kyuquot-checleseht,Nɬeʔkepmxcín,Nsyilxcən,nuučaan̓uł,Secwepemctsín,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"k̔","k̕","she shashishalhem"
"k̔w","k̓w","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Secwepemctsín,St̓át̓imcets"
"k̔w","k̕w","kwakiutl,Kwak̕wala"
"k̔ʷ","k̓ʷ","diitiidʔaaʔtx̣,Éy7á7juuthem,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Kwak̕wala,kyuquot-checleseht,Nɬeʔkepmxcín,Nsyilxcən,nuučaan̓uł,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"k̔ʸ","k̓ʸ","Éy7á7juuthem"
"k̕","k'","Dakelh,Dene Kʼe,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"k̕","kʼ","Danezāgéʼ,Southern Tutchone"
"k̕","kˈ","Sm'algya̱x"
"k̕","k̓","diitiidʔaaʔtx̣,Éy7á7juuthem,Haíɫzaqvḷa,Ktunaxa,kwakiutl,Kwak̕wala,kyuquot-checleseht,Nɬeʔkepmxcín,Nsyilxcən,nuučaan̓uł,Secwepemctsín,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"k̕","k’","Dakelh,Dane-Ẕaa,Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān,Tseʼkhene,Tsilhqotʼin"
"k̕_w","ḵ̕w","kwakiutl,Kwak̕wala"
"k̕w","k'w","Sm'algya̱x"
"k̕w","kˈw","Sm'algya̱x"
"k̕w","k̓w","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Secwepemctsín,St̓át̓imcets"
"k̕w","k̕w","kwakiutl,Kwak̕wala"
"k̕w","k’w","Lingít"
"k̕y","kˈy","Sm'algya̱x"
"k̕ʷ","k̓ʷ","diitiidʔaaʔtx̣,Éy7á7juuthem,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Kwak̕wala,kyuquot-checleseht,Nɬeʔkepmxcín,Nsyilxcən,nuučaan̓uł,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"k̕ʸ","k̓ʸ","Éy7á7juuthem"
"k̠","k̲","Nɬeʔkepmxcín"
"k̠","ḵ","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,kwakiutl,Kwak̕wala,Nisg̱aʼa,Sgüüx̱s,she shashishalhem,Sm'algya̱x,X̱aad Kil / X̱aayda Kil"
"k̠'","ḵˈ","Sm'algya̱x"
"k̠'","ḵ’","Lingít"
"k̠w","ḵw","kwakiutl,Kwak̕wala"
"k̠wʼ","ḵw̕","she shashishalhem"
"k̠w̒","ḵw̕","she shashishalhem"
"k̠w̓","ḵw̕","she shashishalhem"
"k̠w̔","ḵw̕","she shashishalhem"
"k̠w՚","ḵw̕","she shashishalhem"
"k̠w’","ḵw̕","she shashishalhem"
"k̠ʼ","ḵ'","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,X̱aad Kil / X̱aayda Kil"
"k̠ʼ","ḵˈ","Sm'algya̱x"
"k̠ʼ","ḵ̓","kwakiutl,Kwak̕wala"
"k̠ʼ","ḵ’","Lingít"
"k̠ʼw","ḵ̕w","kwakiutl,Kwak̕wala"
"k̠ˈw","ḵ̕w","kwakiutl,Kwak̕wala"
"k̠̒w","ḵ̕w","kwakiutl,Kwak̕wala"
"k̠̓","ḵˈ","Sm'algya̱x"
"k̠̓","ḵ̓","kwakiutl,Kwak̕wala"
"k̠̓","ḵ’","Lingít"
"k̠̓w","ḵ̕w","kwakiutl,Kwak̕wala"
"k̠̔w","ḵ̕w","kwakiutl,Kwak̕wala"
"k̠̕","ḵˈ","Sm'algya̱x"
"k̠̕","ḵ̕","she shashishalhem"
"k̠̕","ḵ’","Lingít"
"k̠̕w","ḵ̕w","kwakiutl,Kwak̕wala"
"k̠՚","ḵ'","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,X̱aad Kil / X̱aayda Kil"
"k̠՚","ḵˈ","Sm'algya̱x"
"k̠՚","ḵ̓","kwakiutl,Kwak̕wala"
"k̠՚","ḵ’","Lingít"
"k̠՚w","ḵ̕w","kwakiutl,Kwak̕wala"
"k̠’","ḵ'","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,X̱aad Kil / X̱aayda Kil"
"k̠’","ḵˈ","Sm'algya̱x"
"k̠’","ḵ̓","kwakiutl,Kwak̕wala"
"k̠’w","ḵ̕w","kwakiutl,Kwak̕wala"
"k̠＇","ḵˈ","Sm'algya̱x"
"k̠＇","ḵ’","Lingít"
"k̲","ḵ","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,kwakiutl,Kwak̕wala,Nisg̱aʼa,Sgüüx̱s,she shashishalhem,Sm'algya̱x,X̱aad Kil / X̱aayda Kil"
"k̲'","ḵˈ","Sm'algya̱x"
"k̲'","ḵ’","Lingít"
"k̲w","ḵw","kwakiutl,Kwak̕wala"
"k̲ʼ","ḵ'","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,X̱aad Kil / X̱aayda Kil"
"k̲ʼ","ḵˈ","Sm'algya̱x"
"k̲ʼ","ḵ̓","kwakiutl,Kwak̕wala"
"k̲ʼ","ḵ’","Lingít"
"k̲ʼw","ḵ̕w","kwakiutl,Kwak̕wala"
"k̲ˈw","ḵ̕w","kwakiutl,Kwak̕wala"
"k̲̒w","ḵ̕w","kwakiutl,Kwak̕wala"
"k̲̓","ḵˈ","Sm'algya̱x"
"k̲̓","ḵ̓","kwakiutl,Kwak̕wala"
"k̲̓","ḵ’","Lingít"
"k̲̓w","ḵ̕w","kwakiutl,Kwak̕wala"
"k̲̔w","ḵ̕w","kwakiutl,Kwak̕wala"
"k̲̕","ḵˈ","Sm'algya̱x"
"k̲̕","ḵ̕","she shashishalhem"
"k̲̕","ḵ’","Lingít"
"k̲̕w","ḵ̕w","kwakiutl,Kwak̕wala"
"k̲՚","ḵ'","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,X̱aad Kil / X̱aayda Kil"
"k̲՚","ḵˈ","Sm'algya̱x"
"k̲՚","ḵ̓","kwakiutl,Kwak̕wala"
"k̲՚","ḵ’","Lingít"
"k̲՚w","ḵ̕w","kwakiutl,Kwak̕wala"
"k̲’","ḵ'","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,X̱aad Kil / X̱aayda Kil"
"k̲’","ḵˈ","Sm'algya̱x"
"k̲’","ḵ̓","kwakiutl,Kwak̕wala"
"k̲’","ḵ’","Lingít"
"k̲’w","ḵ̕w","kwakiutl,Kwak̕wala"
"k̲＇","ḵˈ","Sm'algya̱x"
"k̲＇","ḵ’","Lingít"
"k՚","k'","Dakelh,Dene Kʼe,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"k՚","kʼ","Danezāgéʼ,Southern Tutchone"
"k՚","kˈ","Sm'algya̱x"
"k՚","k̓","diitiidʔaaʔtx̣,Nsyilxcən,nuučaan̓uł,Secwepemctsín"
"k՚","k̕","she shashishalhem"
"k՚","k’","Dakelh,Dane-Ẕaa,Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān,Tseʼkhene,Tsilhqotʼin"
"k՚w","k'w","Sm'algya̱x"
"k՚w","kʼw","Southern Tutchone"
"k՚w","kˈw","Sm'algya̱x"
"k՚w","k̓w","Secwepemctsín,St̓át̓imcets"
"k՚w","k̕w","kwakiutl,Kwak̕wala"
"k՚w","k’w","Lingít"
"k՚y","k'y","Sm'algya̱x"
"k՚y","kˈy","Sm'algya̱x"
"k՚ʷ","k̓ʷ","diitiidʔaaʔtx̣,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nsyilxcən,nuučaan̓uł"
"k’","k'","Dakelh,Dene Kʼe,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"k’","kʼ","Danezāgéʼ,Southern Tutchone"
"k’","kˈ","Sm'algya̱x"
"k’","k̓","diitiidʔaaʔtx̣,kwakiutl,Kwak̕wala,Nsyilxcən,nuučaan̓uł,Secwepemctsín,St̓át̓imcets"
"k’","k̕","she shashishalhem"
"k’w","k'w","Sm'algya̱x"
"k’w","kʼw","Southern Tutchone"
"k’w","kˈw","Sm'algya̱x"
"k’w","k̓w","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Secwepemctsín,St̓át̓imcets"
"k’w","k̕w","kwakiutl,Kwak̕wala"
"k’y","k'y","Sm'algya̱x"
"k’y","kˈy","Sm'algya̱x"
"k’ʷ","k̓ʷ","diitiidʔaaʔtx̣,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nsyilxcən,nuučaan̓uł"
"k＇","k'","Dakelh,Dene Kʼe,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x,Tseʼkhene,X̱aad Kil / X̱aayda Kil"
"k＇","kʼ","Danezāgéʼ,Southern Tutchone"
"k＇","kˈ","Sm'algya̱x"
"k＇","k̓","Nsyilxcən"
"k＇","k’","Dakelh,Dane-Ẕaa,Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān,Tseʼkhene,Tsilhqotʼin"
"k＇w","k'w","Sm'algya̱x"
"k＇w","kʼw","Southern Tutchone"
"k＇y","k'y","Sm'algya̱x"
"k＇ʷ","k̓ʷ","Nsyilxcən"
"l","l","Dakelh,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,kwakiutl,Kwak̕wala,Sgüüx̱s"
"l'","l̓","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Secwepemctsín"
"l'","l’","Lingít"
"lh","lh","Dakelh,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"lʼ","l̓","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nisg̱aʼa,Nɬeʔkepmxcín,Nsyilxcən"
"lˈ","l̓","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nɬeʔkepmxcín,Nsyilxcən"
"l̀","l̓","Nisg̱aʼa"
"l̍","l̓","diitiidʔaaʔtx̣,Éy7á7juuthem,Haíɫzaqvḷa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Kwak̕wala,Nisg̱aʼa,Nɬeʔkepmxcín,Secwepemctsín,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"l̒","l̓","diitiidʔaaʔtx̣,Éy7á7juuthem,Haíɫzaqvḷa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Kwak̕wala,Nisg̱aʼa,Nɬeʔkepmxcín,Nsyilxcən,Secwepemctsín,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"l̓","l̓","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"l̔","l̓","diitiidʔaaʔtx̣,Éy7á7juuthem,Haíɫzaqvḷa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Kwak̕wala,Nisg̱aʼa,Nɬeʔkepmxcín,Nsyilxcən,Secwepemctsín,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"l̕","l̓","diitiidʔaaʔtx̣,Éy7á7juuthem,Haíɫzaqvḷa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Kwak̕wala,Nisg̱aʼa,Nɬeʔkepmxcín,Nsyilxcən,Secwepemctsín,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"l̠","l̲","St̓át̓imcets"
"l̵","ł","Nsyilxcən"
"l̵","ɬ","Éy7á7juuthem,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nsyilxcən"
"l̷","ł","Danezāgéʼ,Dene Kʼe,diitiidʔaaʔtx̣,kwakiutl,Kwak̕wala,kyuquot-checleseht,Nɬeʔkepmxcín,nuučaan̓uł,Sgüüx̱s,Sm'algya̱x,Southern Tutchone,Tāłtān"
"l̷","ɬ","Nɬeʔkepmxcín"
"l̸","ł","Danezāgéʼ,Dene Kʼe,diitiidʔaaʔtx̣,kwakiutl,Kwak̕wala,kyuquot-checleseht,Nɬeʔkepmxcín,nuučaan̓uł,Sgüüx̱s,Sm'algya̱x,Southern Tutchone,Tāłtān"
"l̸","ɬ","Nɬeʔkepmxcín"
"l՚","l̓","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nɬeʔkepmxcín,Nsyilxcən"
"l’","l̓","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nɬeʔkepmxcín,Nsyilxcən,Secwepemctsín,St̓át̓imcets"
"m","m","Dakelh,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,kwakiutl,Kwak̕wala,Sgüüx̱s"
"m'","m̓","Nsyilxcən,Secwepemctsín"
"mʼ","m̓","Nsyilxcən"
"mˈ","m̓","Nsyilxcən"
"m̍","m̓","diitiidʔaaʔtx̣,Éy7á7juuthem,Haíɫzaqvḷa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Ktunaxa,Kwak̕wala,kyuquot-checleseht,Nisg̱aʼa,Nɬeʔkepmxcín,Nsyilxcən,nuučaan̓uł,Secwepemctsín,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"m̒","m̓","diitiidʔaaʔtx̣,Éy7á7juuthem,Haíɫzaqvḷa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Ktunaxa,Kwak̕wala,kyuquot-checleseht,Nisg̱aʼa,Nɬeʔkepmxcín,Nsyilxcən,nuučaan̓uł,Secwepemctsín,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"m̓","m̓","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"m̔","m̓","diitiidʔaaʔtx̣,Éy7á7juuthem,Haíɫzaqvḷa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Ktunaxa,Kwak̕wala,kyuquot-checleseht,Nisg̱aʼa,Nɬeʔkepmxcín,Nsyilxcən,nuučaan̓uł,Secwepemctsín,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"m̕","m̓","diitiidʔaaʔtx̣,Éy7á7juuthem,Haíɫzaqvḷa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Ktunaxa,Kwak̕wala,kyuquot-checleseht,Nisg̱aʼa,Nɬeʔkepmxcín,Nsyilxcən,nuučaan̓uł,Secwepemctsín,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"m՚","m̓","Nsyilxcən"
"m’","m̓","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nsyilxcən,nuučaan̓uł,Secwepemctsín,St̓át̓imcets"
"m＇","m̓","Nsyilxcən"
