Character,NFD Code Points,NFC Code Points
"ǫ̀ǫ̀","U+006F U+0328 U+0300 U+006F U+0328 U+0300","U+01EB U+0300 U+01EB U+0300"
"ǫ́","U+006F U+0328 U+0301","U+01EB U+0301"
"ǫ̂","U+006F U+0328 U+0302","U+01EB U+0302"
"ǫ̌","U+006F U+0328 U+030C","U+01EB U+030C"
"ǭ","U+006F U+0328 U+0304","U+01ED"
"ǭ́","U+006F U+0328 U+0304 U+0301","U+01ED U+0301"
"ǰ","U+006A U+030C","U+01F0"
"Ⱥ","U+023A","U+023A"
"Ȼ","U+023B","U+023B"
"Ƚ","U+023D","U+023D"
"Ⱦ","U+023E","U+023E"
"ɂ","U+0242","U+0242"
"ɔ","U+0254","U+0254"
"ɔy","U+0254 U+0079","U+0254 U+0079"
"ə","U+0259","U+0259"
"əl","U+0259 U+006C","U+0259 U+006C"
"əm","U+0259 U+006D","U+0259 U+006D"
"ən","U+0259 U+006E","U+0259 U+006E"
"əw","U+0259 U+0077","U+0259 U+0077"
"əw̓","U+0259 U+0077 U+0313","U+0259 U+0077 U+0313"
"əy","U+0259 U+0079","U+0259 U+0079"
"ə̀l","U+0259 U+0300 U+006C","U+0259 U+0300 U+006C"
"ə̀m","U+0259 U+0300 U+006D","U+0259 U+0300 U+006D"
"ə̀n","U+0259 U+0300 U+006E","U+0259 U+0300 U+006E"
"ə́","U+0259 U+0301","U+0259 U+0301"
"ə̣","U+0259 U+0323","U+0259 U+0323"
"ɛ","U+025B","U+025B"
"ɣ","U+0263","U+0263"
"ɣ̓","U+0263 U+0313","U+0263 U+0313"
"ɨ","U+0268","U+0268"
"ɩ","U+0269","U+0269"
"ɫ","U+026B","U+026B"
"ɬ","U+026C","U+026C"
"ʊ","U+028A","U+028A"
"ʔ","U+0294","U+0294"
"ʕ","U+0295","U+0295"
"ʕa","U+0295 U+0061","U+0295 U+0061"
"ʕi","U+0295 U+0069","U+0295 U+0069"
"ʕu","U+0295 U+0075","U+0295 U+0075"
"ʕʷ","U+0295 U+02B7","U+0295 U+02B7"
"ʕ̓","U+0295 U+0313","U+0295 U+0313"
"ʕ̓ʷ","U+0295 U+0313 U+02B7","U+0295 U+0313 U+02B7"
"ʣ","U+02A3","U+02A3"
"ʼ","U+02BC","U+02BC"
"ˀ","U+02C0","U+02C0"
"ˈ","U+02C8","U+02C8"
"ˈl","U+02C8 U+006C","U+02C8 U+006C"
"ˈm","U+02C8 U+006D","U+02C8 U+006D"
"ˈn","U+02C8 U+006E","U+02C8 U+006E"
"ˈw","U+02C8 U+0077","U+02C8 U+0077"
"ˈy","U+02C8 U+0079","U+02C8 U+0079"
"ˈẅ","U+02C8 U+0077 U+0308","U+02C8 U+1E85"
"θ","U+03B8","U+03B8"
"λ","U+03BB","U+03BB"
"χ","U+03C7","U+03C7"
"χʷ","U+03C7 U+02B7","U+03C7 U+02B7"
"ᐁ","U+1401","U+1401"
"ᐁᐧ","U+1401 U+1427","U+1401 U+1427"
"ᐃ","U+1403","U+1403"
"ᐃᐧ","U+1403 U+1427","U+1403 U+1427"
"ᐄ","U+1404","U+1404"
"ᐅ","U+1405","U+1405"
"ᐅᐧ","U+1405 U+1427","U+1405 U+1427"
"ᐆ","U+1406","U+1406"
